"Abstimmungs_Datum","Nr_Politische_Ebene","Name_Politische_Ebene","Abstimmungs_Text","Nr_Resultat_Gebiet","Name_Resultat_Gebiet","Nr_Wahlkreis_StZH","Name_Wahlkreis_StZH","Stimmberechtigt","Ja","Nein","Stimmbeteiligung (%)","Ja (%)","Nein (%)","StaendeJa","StaendeNein"
"2024-03-03",2,"Kanton Zürich","B. Gegenvorschlag des Kantonsrates",3,"Stadt Zürich",2,"Kreis 1+2",23103.0,6813,5238,55.7,56.5,43.5,"",""
"2024-03-03",2,"Kanton Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale ",3,"Stadt Zürich",5,"Kreis 6",19466.0,2257,9044,63.4,20.0,80.0,"",""
"2024-03-03",2,"Kanton Zürich","Änderung der Kantonsverfassung, Voraussetzungen für die Wahl an die obersten kantonalen Gerichte",3,"Stadt Zürich",9,"Kreis 11",37170.0,14843,1696,47.8,89.7,10.3,"",""
"2024-03-03",2,"Kanton Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale ",3,"Stadt Zürich",3,"Kreis 3",27556.0,2748,10534,53.6,20.7,79.3,"",""
"2024-03-03",2,"Kanton Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale ",3,"Stadt Zürich",2,"Kreis 1+2",23103.0,2873,8724,55.4,24.8,75.2,"",""
"2024-03-03",2,"Kanton Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale ",3,"Stadt Zürich","","",235019.0,28583,86750,54.2,24.8,75.2,"",""
"2024-03-03",2,"Kanton Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale ",2,"Kanton Zürich","","",933174.0,144495,312465,54.1,31.6,68.4,"",""
"2024-03-03",2,"Kanton Zürich","B. Gegenvorschlag des Kantonsrates",3,"Stadt Zürich",10,"Kreis 12",15652.0,3080,2745,40.8,52.9,47.1,"",""
"2024-03-03",2,"Kanton Zürich","B. Gegenvorschlag des Kantonsrates",3,"Stadt Zürich",9,"Kreis 11",37170.0,9419,7174,47.9,56.8,43.2,"",""
"2024-03-03",2,"Kanton Zürich","B. Gegenvorschlag des Kantonsrates",3,"Stadt Zürich",8,"Kreis 10",24317.0,7158,6653,60.3,51.8,48.2,"",""
"2024-03-03",2,"Kanton Zürich","B. Gegenvorschlag des Kantonsrates",3,"Stadt Zürich",7,"Kreis 9",31637.0,7948,7047,50.8,53.0,47.0,"",""
"2024-03-03",2,"Kanton Zürich","B. Gegenvorschlag des Kantonsrates",3,"Stadt Zürich",6,"Kreis 7+8",31501.0,11633,7051,63.0,62.3,37.7,"",""
