Gemeinde,Kanton,Bezirk,Afrika,Asien,EFTA-Staaten,EU-Staaten,Lateinamerika und Karibik,Nordamerika,Ohne Angabe,Ozeanien,Staatenlos,Ã¯Â¿Â½briges Europa (Europa ohne EU und EFTA)
Oberhof,Aargau,Bezirk Laufenburg,0.030560271646859084,0.0050933786078098476,0.0,0.07470288624787776,0.001697792869269949,0.0,0.0,0.0,0.0,0.0
Oeschgen,Aargau,Bezirk Laufenburg,0.0,0.005747126436781609,0.0,0.11206896551724138,0.0028735632183908046,0.0,0.0,0.0,0.0,0.013409961685823755
Schwaderloch,Aargau,Bezirk Laufenburg,0.0,0.014598540145985401,0.0,0.1781021897810219,0.00145985401459854,0.0,0.0,0.0,0.0,0.049635036496350364
Sisseln,Aargau,Bezirk Laufenburg,0.0,0.01311680199875078,0.0012492192379762648,0.2154903185509057,0.0018738288569643974,0.0012492192379762648,0.0,0.0,0.0,0.04184884447220487
Ueken,Aargau,Bezirk Laufenburg,0.003393665158371041,0.010180995475113122,0.0,0.11990950226244344,0.0,0.0022624434389140274,0.0,0.0,0.0,0.0418552036199095
Wittnau,Aargau,Bezirk Laufenburg,0.002255639097744361,0.004511278195488722,0.0007518796992481203,0.06766917293233082,0.0007518796992481203,0.0,0.0,0.0,0.0,0.022556390977443608
WÃ¯Â¿Â½lflinswil,Aargau,Bezirk Laufenburg,0.0,0.007677543186180422,0.0009596928982725527,0.05950095969289827,0.0009596928982725527,0.0,0.003838771593090211,0.0,0.0,0.009596928982725527
Zeihen,Aargau,Bezirk Laufenburg,0.003404255319148936,0.006808510638297872,0.000851063829787234,0.13361702127659575,0.001702127659574468,0.000851063829787234,0.0,0.0,0.0,0.02723404255319149
Mettauertal,Aargau,Bezirk Laufenburg,0.003931203931203931,0.007371007371007371,0.0004914004914004914,0.1194103194103194,0.0019656019656019656,0.0,0.0,0.0,0.0,0.018673218673218674
BÃ¯Â¿Â½ztal,Aargau,Bezirk Laufenburg,0.0026022304832713753,0.007434944237918215,0.0003717472118959108,0.11338289962825279,0.001486988847583643,0.0003717472118959108,0.0003717472118959108,0.0,0.0,0.0379182156133829
