'link','name','country institution','origin','period','genre/type','Xml-tei','export?','completed','remark'
'http://vto2.classics.ox.ac.uk/','Vindolanda Tablets Online II','Great Britain','Great Britain','Ancient','historical sources','no','unknown',,
'http://vindolanda.csad.ox.ac.uk/index.shtml','Vindolanda Tablets Online','Great Britain','Great Britain','Ancient','historical sources','no','unknown',,
'https://romaninscriptionsofbritain.org/','Roman Inscription of Britain','Great Britain','Great Britain','Ancient','historical sources','yes','unknown',,
'https://www.codexsinaiticus.org/en/project/transcription_download.aspx','Codex Sinaiticus','Great Britain, Germany, Greece, USA','Middle East','Ancient','manuscripts','yes','via link',,
'https://gtr.ukri.org/project/D8559AFF-42B9-458A-833D-0A956C16F3C2#/tabOverview','The Saint-Aubins’ Book of Arses: The Livre de Caricatures tant de bonnes que mauvaises','Great Britain','France','Modern','prose','no','unknown',,'no data found'
'http://www.catullusonline.org/CatullusOnline/index.php','Catullus Online','Germany','Italy','Ancient','prose','no','unknown',,
'http://suprasliensis.obdurodon.org/','Codex Suprasliensis','Bulgaria, USA','Bulgaria','Medieval','prose','no','unknown',,
'https://dlv.org.uk/index.html','The Durham Liber Vitae Project','Great Britain','Great Britain','Medieval','manuscripts','no','unknown',,
'https://www.beckettarchive.org/getlogin.html','Samuel Beckett Digital Manuscript Project','Great Britain, Belgium','Great Britain','Present','manuscripts','no','unknown',,'70 Euros/ Year for an individual // 400 Euros/Year for an Institution'
'http://omacl.org/Heimskringla/','Heimskringla Edition','Iceland','Iceland','Medieval','manuscripts','not found','unknown',,'page is down'
'lost','Partonopeus de Blois','Great Britain','France','Medieval','manuscripts','yes','via zip-link',,'Tei-xml is separated into header and xml-files'
'https://ota.bodleian.ox.ac.uk/repository/xmlui/handle/20.500.12024/3261','The vision of Piers Plowman: a critical edition of the B-text','Great Britain','Great Britain','Medieval','prose','yes','via zip-link',,
'https://ota.bodleian.ox.ac.uk/repository/xmlui/handle/20.500.12024/A02453','Castara the third edition. Corrected and augmented','Great Britain','Great Britain','Modern','prose','yes','via zip-link',,
'https://ota.bodleian.ox.ac.uk/repository/xmlui/handle/20.500.12024/K023576.000','Cursory criticisms on the edition of Shakespeare published by Edmond Malone','Great Britain','Great Britain','Modern','prose','yes','via zip-link',,
'https://ota.bodleian.ox.ac.uk/repository/xmlui/handle/20.500.12024/7','ECCO Eighteenth Century Collections Online','Great Britain','Great Britain','Modern','multiple editions','yes','via zip-link',,'are those critical editions?'
'https://ota.bodleian.ox.ac.uk/repository/xmlui/handle/20.500.12024/5','Early English Books Online','Great Britain','Great Britain','Modern','diplomatic transcriptions (as opposed to critical editions) ','yes','via zip-link',,'are those critical editions?'
'https://ota.bodleian.ox.ac.uk/repository/xmlui/handle/20.500.12024/10','Jonathan Swift Archive','Great Britain','Great Britain','Modern','prose','yes','each via page, couldn’t find repo or zip',,
'https://ota.bodleian.ox.ac.uk/repository/xmlui/handle/20.500.12024/8','Evans Early American Imprints','Great Britain','USA','Modern','prose','no','each via page, couldn’t find repo or zip',,
'http://www.finerollshenry3.org.uk','Henry III Fine Rolls Project','Great Britain','Great Britain','Medieval','historical sources','yes','unknown','yes',
'https://www.intratext.com/','La Famiglia dell’Antiquario','Italy','Italy','Modern','prose','no','unknown','yes','cannot find dedicated page'
'http://www.e-codices.unifr.ch/de/description/csg/0621/','Die Glossen Ekkeharts im Codex Sangallensis 621','Switzerland','Switzerland','Medieval','manuscripts','not found','unknown',,
'https://iospe.kcl.ac.uk/corpora/tyras/index.html','Inscriptions of the Northern Black Sea','Great Britain','Ukraine, Russia','Ancient','historical sources','yes','each via page, couldn’t find repo or zip',,'repo link promised'
'https://github.com/Brown-University-Library/usep-data/tree/master/xml_inscriptions','US Epigraphy Project. Collections of Greek and Latin Inscriptions in the USA','USA','Europe','Ancient','historical sources','yes','via github',,
'https://entretenida.outofthewings.org/','La entretenida by Miguel Cervantes: A Digital, Annotated Edition and English Translation','Great Britain','Spain','Medieval – Modern','prose','yes','unknown','yes',
'https://github.com/CopticScriptorium/corpora/tree/master','Coptic Scriptorum','USA','Egypt','Ancient – Medieval','corpora','yes','via github',,'how to treat a corpus?'
'http://cgrn.ulg.ac.be/','Collection of Greek Ritual Norms','France, Belgium','Greece','Ancient','historical sources','yes','each via page, couldn’t find repo or zip',,
'https://atticinscriptions.com/about/','Attic Inscriptions Online','Great Britain','Greece','Ancient','historical sources','no','unknown',,
'http://www.eagle-eagle.it/','Electronic Archive of Greek and Latin Epigraphy','Italy','Italy, Greece','Ancient','inscriptions','not found','unknown',,'seems to be html, but should be epidoc (related to: https://wiki.eagle-network.eu/wiki/index.php/ ?)'
'https://wiki.digitalclassicist.org/Apparatus_Inscriptions_(Agostinelli)','Appartus Inscriptions (Agostinelli)','Italy','Italy','Ancient','inscriptions','yes','unknown',,'Probably part of: https://www.edb.uniba.it/ (login required to access db)'
'https://insaph.kcl.ac.uk/iaph2007/inscriptions/xml-repo.html','Inscriptions of Aphrodisias','Great Britain','Greece','Ancient','historical sources','yes','via zip-link',,
'https://zenodo.org/records/7038093','Titulus Corpus ','France','France','Medieval','historical sources','yes','via zip-link',,'Request access due to image rights'
'https://classicmayan.org/portal/','Maya Wörterbuch','Germany','Mexico','Ancient – Medieval','historical sources','yes','unknown',,
'https://telamon.uni-sofia.bg/en/page/project','Ancient Greek Inscriptions from Bulgaria','Bulgaria ','Bulgaria','Ancient','historical sources','yes','via zip-link',,'Download the whole web-program and extract the tei-xml files'
'http://rosettastone.hieroglyphic-texts.net/tei-xml/','The Rosetta Stone Online','Germany','Egypt','Ancient','historical sources','yes','via link',,'only one text: already an edition?'
