Title (de),Date,Institution,Theme 1,Theme 2,Theme 3,Vote trigger,Vote Result status,Official status,Legal act type,Vote trigger actor
Bundesgesetz vom 17.06.2016 über steuerliche Massnahmen zur Stärkung der Wettbewerbsfähigkeit des Unternehmensstandorts Schweiz (Unternehmenssteuerreformgesetz III),2017-02-12,Optional referendum,public finance,taxation,tax system,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 30.09.2016 über die Schaffung eines Fonds für die Nationalstrassen und den Agglomerationsverkehr (NAF),2017-02-12,Mandatory referendum,transport and infrastructure,road transport,road construction,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 30.09.2016 über die erleichterte Einbürgerung von Personen der dritten Ausländergeneration,2017-02-12,Mandatory referendum,state organisation,legal system,citizenship,Automatic,Binding,Official,Normal,Constitution
"Volksinitiative vom 16.11.2012 ""Für den geordneten Ausstieg aus der Atomenergie (Atomausstiegsinitiative)""",2016-11-27,Citizens' initiative,energy,nuclear energy,energy policy,Bottom up,Binding,Official,Normal,Citizens
"Bundesgesetz vom 25.09.2015 über den Nachrichtendienst (Nachrichtendienstgesetz, NDG)",2016-09-25,Optional referendum,security policy,state security,fundamental rights,Bottom up,Binding,Official,Normal,Citizens
"Volksinitiative vom 17.12.2013 ""AHVplus: für eine starke AHV""",2016-09-25,Citizens' initiative,social policy,social security,pension insurance,Bottom up,Binding,Official,Normal,Citizens
"Volksinitiative vom 06.09.2012 ""Für eine nachhaltige und ressourceneffiziente Wirtschaft (Grüne Wirtschaft)""",2016-09-25,Citizens' initiative,environment and living space,environment,environmental policy,Bottom up,Binding,Official,Normal,Citizens
Änderung vom 25.09.2015 des Asylgesetzes,2016-06-05,Optional referendum,social policy,social groups,refugees,Bottom up,Binding,Official,Normal,Citizens
"Änderung vom 12.12.2014 des Bundesgesetzes über die medizinisch unterstützte Fortpflanzung (Fortpflanzungsmedizingesetz, FMedG)",2016-06-05,Optional referendum,social policy,health,reproductive medicine,Bottom up,Binding,Official,Normal,Citizens
"Volksinitiative vom 10.03.2014 ""Für eine faire Verkehrsfinanzierung""",2016-06-05,Citizens' initiative,transport and infrastructure,road transport,indirect taxation,Bottom up,Binding,Official,Normal,Citizens
"Volksinitiative vom 04.10.2013 Für ein bedingungsloses Grundeinkommen""",2016-06-05,Citizens' initiative,social policy,social security,welfare,Bottom up,Binding,Official,Normal,Citizens
"Volksinitiative vom 30.05.2013 ""Pro Service public""",2016-06-05,Citizens' initiative,transport and infrastructure,post,telecommunications,Bottom up,Binding,Official,Normal,Citizens
Änderung vom 26.09.2014 des Bundesgesetzes über den Strassentransitverkehr im Alpengebiet (STVG) (Sanierung Gotthard-Strassentunnel),2016-02-28,Optional referendum,transport and infrastructure,road transport,road construction,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 24.03.2014 «Keine Spekulation mit Nahrungsmitteln!»,2016-02-28,Citizens' initiative,economic policy,"banks, stock exchange, insurance",agriculture,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 28.12.2012 «Zur Durchsetzung der Ausschaffung krimineller Ausländer (Durchsetzungsinitiative)»,2016-02-28,Citizens' initiative,legal system,criminal law,fundamental rights,Bottom up,Binding,Official,Normal,Citizens
"Volksinitiative vom 05.11.2012 ""Für Ehe und Familie - gegen die Heiratsstrafe""",2016-02-28,Citizens' initiative,social policy,family policy,tax policy,Bottom up,Binding,Official,Normal,Citizens
Änderung vom 26.09.2014 des Bundesgesetzes über Radio und Fernsehen (RTVG),2015-06-14,Optional referendum,media and communication,"radio, television and electronic media",indirect taxation,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 15.02.2013 «Millionen-Erbschaften besteuern für unsere AHV (Erbschaftssteuerreform)»,2015-06-14,Citizens' initiative,public finance,indirect taxation,federalism,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 20.01.2012 «Stipendieninitiative»,2015-06-14,Citizens' initiative,education and research,universities,division of tasks,Bottom up,Binding,Official,Normal,Citizens
Budesbeschluss vom 12. Dezember 2014 über die Änderung der Verfassungsbestimmung zur Fortpflanzungsmedizin und Gentechnologie im Humanbereich,2015-06-14,Mandatory referendum,health,medical research and technology,genetic engineering,Automatic,Binding,Official,Normal,Constitution
