Title (de),Date,Institution,Theme 1,Theme 2,Theme 3,Vote trigger,Vote Result status,Official status,Legal act type,Vote trigger actor
Bundesbeschluss vom 22.12.1954 über die Volksinitiative 'zum Schutz der Mieter und Konsumenten (Weiterführung der Preiskontrolle)',1955-03-13,Citizens' initiative,pricing policy,tenancy issues,consumer protection,Bottom up,Binding,Official,Normal,Citizens
Volksbegehren zum Schutze der Stromlandschaft Rheinfall-Rheinau,1954-12-05,Citizens' initiative,hydro-electric power,protection of nature and cultural heritage,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 25.06.1954 über die Finanzordnung 1955 bis 1958,1954-10-24,Mandatory referendum,financial system,tax system,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 23.12.1953 über ausserordentliche Hilfeleistungen an kriegsgeschädigte Auslandschweizer,1954-06-20,Optional referendum,Swiss abroad,,,Bottom up,Binding,Official,Normal,Citizens
"Bundesbeschluss vom 23.12.1953 über den Fähigkeitsausweis im Schuhmacher-, Coiffeur-, Sattler- und Wagnergewerbe",1954-06-20,Optional referendum,structural policy,professional and vocational education,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 30.09.1953 über die Ergänzung der Bundesvefassung durch einen Artikel 24quater betreffend den Schutz der Gewässer gegen Verunreinigung,1953-12-06,Mandatory referendum,water pollution control,,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 25.09.1953 über die verfassungsmässige Neuordnung des Finanzhaushaltes des Bundes,1953-12-06,Mandatory referendum,financial system,tax system,,Automatic,Binding,Official,Normal,Constitution
Bundesgesetz vom 20.06.1952 über die Revision des Bundesgesetzes betreffend den Postverkehr,1953-04-19,Optional referendum,post,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 26.09.1952 über die Brotgetreideversorgung des Landes,1952-11-23,Mandatory referendum,crop production,national economic supply,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 26.09.1952 über die befristete Weiterführung einer beschränkten Preiskontrolle,1952-11-23,Mandatory referendum,pricing policy,tenancy issues,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 28.03.1952 über den Einbau von Luftschutzräumen in bestehenden Häusern,1952-10-05,Optional referendum,civil protection,,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz vom 01.02.1952 betreffend die Abänderung von Bestimmungen über die fiskalische Belastung des Tabaks im Bundesgesetz über die Alters- und Hinterlassenenversicherung,1952-10-05,Optional referendum,structural policy,indirect taxation,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 28.03.1952 über die Deckung der Rüstungsausgaben,1952-07-06,Mandatory referendum,arms,tax system,,Automatic,Binding,Official,Normal,Constitution
Volksbegehren zur Rüstungsfinanzierung und zum Schutze der sozialen Errungenschaften,1952-05-18,Citizens' initiative,arms,direct taxation,social security,Bottom up,Binding,Official,Normal,Citizens
Volksbegehren betreffend die Umsatzsteuern,1952-04-20,Citizens' initiative,indirect taxation,,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über die Förderung der Landwirtschaft und die Erhaltung des Bauernstandes (Landwirtschaftsgesetz),1952-03-30,Optional referendum,agricultural policy,national economic supply,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss betreffend Verlängerung der Geltungsdauer des Bundesbeschlusses über die Bewilligungspflicht für die Eröffnung und Erweiterung von Gasthöfen,1952-03-02,Optional referendum,structural policy,hospitality,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'zur Heranziehung der öffentlichen Unternehmungen zu einem Beitrag an die Kosten der Landesverteidigung',1951-07-08,Citizens' initiative,direct taxation,armed forces in general,,Bottom up,Binding,Official,Normal,Citizens
Gegenvorschlag zur eidgenössischen Volksinitiative zur Sicherstellung der Kaufkraft und Vollbeschäftigung (Freigeldinitiative),1951-04-15,Counter proposal,,,,Top down,Binding,Official,Normal,Parliament
Bundesbeschluss über das Volksbegehren betreffend die Revision des Artikels 39 der Bundesverfassung (Freigeldinitiative),1951-04-15,Citizens' initiative,monetary policy,national bank,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über den Transport von Personen und Sachen mit Motorfahrzeugen auf öffentlichen Strassen (Autotransportordnung),1951-02-25,Optional referendum,transport policy,structural policy,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Finanzordnung 1951 bis 1954,1950-12-03,Mandatory referendum,financial system,tax system,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss betreffend Abänderung des Artikels 72 der Bundesverfassung (Wahl des Nationalrates),1950-12-03,Mandatory referendum,parliament,electoral system,,Automatic,Binding,Official,Normal,Constitution
Eidgenössische Volksinitiative 'zum Schutz des Bodens und der Arbeit durch Verhinderung der Spekulation',1950-10-01,Citizens' initiative,land law,agricultural policy,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die verfassungsmässige Neuordnung des Finanzhaushaltes des Bundes,1950-06-04,Mandatory referendum,financial system,tax system,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss betreffend die Verlängerung der Geltungsdauer und die Abänderung des Bundesbeschlusses über Massnahmen zur Förderung der Wohnbautätigkeit,1950-01-29,Optional referendum,"building of residential housing, property ownership",,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz betreffend Abänderung des Bundesgesetzes vom 30. Juni 1927 über das Dienstverhältnis der Bundesbeamten,1949-12-11,Optional referendum,"government, administration",,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'für die Rückkehr zur direkten Demokratie',1949-09-11,Citizens' initiative,legislative procedure,"government, administration",referendum,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über die Ergänzung des Bundesgesetzes vom 13. Juni 1928 betreffend Massnahmen gegen die Tuberkulose,1949-05-22,Optional referendum,health policy,health and accident insurance,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Revision von Artikel 39 der Bundesverfassung betreffend die Schweizerische Nationalbank,1949-05-22,Mandatory referendum,national bank,monetary policy,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss über die Ordnung der schweizerischen Zuckerwirtschaft,1948-03-14,Optional referendum,crop production,national economic supply,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über die Alters- und Hinterlassenenversicherung,1947-07-06,Optional referendum,pension insurance,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über eine Revision der Wirtschaftsartikel der Bundesverfassung,1947-07-06,Mandatory referendum,structural policy,agricultural policy,national economic supply,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss über das Volksbegehren betreffend 'Wirtschaftsreform und Rechte der Arbeit',1947-05-18,Citizens' initiative,economic policy,employment,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über das Volksbegehren betreffend das 'Recht auf Arbeit',1946-12-08,Citizens' initiative,employment policy,unemployment insurance,fundamental rights,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über das Volksbegehren betreffend eine Gütertransportordnung (Gegenentwurf),1946-02-10,Counter proposal,transport policy,structural policy,,Top down,Binding,Official,Normal,Parliament
Bundesbeschluss über das Volksbegehren 'Für die Familie' (Gegenentwurf),1945-11-25,Counter proposal,maternity insurance,housing,family policy,Top down,Binding,Official,Normal,Parliament
Bundesgesetz über die Schweizerischen Bundesbahnen,1945-01-21,Optional referendum,rail transport,budget cuts and remediation measures,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über den unlauteren Wettbewerb,1944-10-29,Optional referendum,competition policy,,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'für die Reorganisation des Nationalrates',1942-05-03,Citizens' initiative,parliament,electoral system,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'für die Wahl des Bundesrates durch das Volk und die Erhöhung der Mitgliederzahl',1942-01-25,Citizens' initiative,"government, administration",electoral system,citizens' rights,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'zur Neuordnung des Alkoholwesens',1941-03-09,Citizens' initiative,addictive substances,crop production,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über die Abänderung der Art. 103 und 104 des Bundesgesetzes vom 12. April 1907 betreffend die Militärorganisation (Einführung des obligatorischen militärischen Vorunterrichts),1940-12-01,Optional referendum,military training,electoral system,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über die Aenderung des Dienstverhältnisses und der Versicherung des Bundespersonals,1939-12-03,Optional referendum,"government, administration",occupational benefits provision,budget cuts and remediation measures,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss betreffend Ergänzung der Bundesverfassung für die Eröffnung und teilweise Deckung von Krediten zum Ausbau der Landesverteidigung und zur Bekämpfung der Arbeitslosigkeit,1939-06-04,Mandatory referendum,armed forces in general,employment policy,road construction,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss über das Volksbegehren für Einschränkung der Anwendung der Dringlichkeitsklausel (Gegenentwurf),1939-01-22,Counter proposal,parliament,legislative procedure,referendum,Top down,Binding,Official,Normal,Parliament
Eidgenössische Volksinitiative 'zur Wahrung der verfassungsmässigen Rechte der Bürger (Erweiterung der Verfassungsgerichtsbarkeit)',1939-01-22,Citizens' initiative,courts,legislative procedure,referendum,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss betreffend die Uebergangsordnung des Finanzhaushaltes,1938-11-27,Mandatory referendum,financial system,tax policy,pension insurance,Automatic,Binding,Official,Normal,Constitution
Schweizerisches Strafgesetzbuch,1938-07-03,Optional referendum,criminal law,division of tasks,state security,Bottom up,Binding,Official,Normal,Citizens
"Gegenvorschlag zur eidgenössischen Volksinitiative ""Private Rüstungsindustrie""",1938-02-20,Counter proposal,arms,structural policy,,Top down,Binding,Official,Normal,Parliament
Bundesbeschluss über die Volksinitiative 'Private Rüstungsindustrie',1938-02-20,Citizens' initiative,arms,structural policy,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'betreffend die dringlichen Bundesbeschlüsse und die Wahrung der demokratischen Volksrechte',1938-02-20,Citizens' initiative,parliament,legislative procedure,referendum,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Revision der Art. 107 und 116 der Bundesverfassung (Anerkennung des Rätoromanischen als Nationalsprache),1938-02-20,Mandatory referendum,language policy,,,Automatic,Binding,Official,Normal,Constitution
Eidgenössische Volksinitiative 'für ein Verbot der Freimaurerei',1937-11-28,Citizens' initiative,state security,fundamental rights,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'für eine Totalrevision der Bundesverfassung',1935-09-08,Citizens' initiative,constitution,,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'zur Bekämpfung der Wirtschaftskrise',1935-06-02,Citizens' initiative,short-term economic policy,employment policy,monetary policy,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über die Regelung der Beförderung von Gütern und Tieren mit Motorfahrzeugen auf öffentlichen Strassen (Verkehrsteilungsgesetz),1935-05-05,Optional referendum,transport policy,structural policy,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über die Abänderung des Bundesgesetzes vom 12. April 1907 betreffend die Militärorganisation (Neuordnung der Ausbildung),1935-02-24,Optional referendum,military training,,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über den Schutz der öffentlichen Ordnung,1934-03-11,Optional referendum,state security,fundamental rights,freedom of the media,Bottom up,Binding,Official,Normal,Citizens
"Bundesgesetz über die vorübergehende Herabsetzung der Besoldungen, Gehälter und Löhne der im Dienste des Bundes stehenden Personen",1933-05-28,Optional referendum,"government, administration",budget cuts and remediation measures,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über die Besteuerung des Tabaks,1931-12-06,Optional referendum,indirect taxation,pension insurance,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über die Alters- und Hinterlassenenversicherung,1931-12-06,Optional referendum,pension insurance,,,Bottom up,Binding,Official,Normal,Citizens
"Bundesbeschluss über die Revision der Art. 76, 96 , Abs. 1, und 105, Abs. 2, der Bundesverfassung (Amtsdauer des Nationalrats, des Bundesrats und des Bundeskanzlers)",1931-03-15,Mandatory referendum,"government, administration",parliament,electoral system,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss über die Revision des Art. 72 der Bundesverfassung (Wahl des Nationalrats),1931-03-15,Mandatory referendum,electoral system,parliament,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss über das Volksbegehren um Revision des Artikels 12 der Bundesverfassung (Ordensverbot) (Gegenentwurf),1931-02-08,Counter proposal,independence,armed forces in general,,Top down,Binding,Official,Normal,Parliament
Bundesbeschluss betreffend die Revision der Art. 31 und 32bis der Bundesverfassung (Alkoholwesen),1930-04-06,Mandatory referendum,addictive substances,indirect taxation,crop production,Automatic,Binding,Official,Normal,Constitution
"Volksbegehren für das Kantons- und Gemeindeverbotsrecht für gebrannte Wasser, die zum Genuss bestimmt sind",1929-05-12,Citizens' initiative,addictive substances,,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'betreffend die Gesetzgebung über den Strassenverkehr',1929-05-12,Citizens' initiative,road transport,intergovernmental relations,indirect taxation,Bottom up,Binding,Official,Normal,Citizens
"Gegenvorschlag zur eidgenössischen Volksinitiative ""Getreideversorgung""",1929-03-03,Counter proposal,crop production,national economic supply,,Top down,Binding,Official,Normal,Parliament
Bundesbeschluss über die Volksinitiative 'Getreideversorgung',1929-03-03,Citizens' initiative,crop production,national economic supply,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz betreffend Abänderung von Art.14 des Bundesgesetzes vom 10. Oktober 1902 betreffend den schweizerischen Zolltarif,1929-03-03,Optional referendum,crop production,national economic supply,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'Kursaalspiele (Spielbanken)',1928-12-02,Citizens' initiative,structural policy,lottery and gambling,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss betreffend Revision des Art. 44 der Bundesverfassung (Massnahmen gegen die Ueberfremdung),1928-05-20,Mandatory referendum,immigration policy,citizenship,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss betreffend die Abänderung des Artikels 30 der Bundesverfassung (Internationale Alpenstrassen),1927-05-15,Mandatory referendum,heavy traffic,intergovernmental relations,,Automatic,Binding,Official,Normal,Constitution
Bundesgesetz über den Automobil- und Fahrradverkehr,1927-05-15,Optional referendum,road transport,intergovernmental relations,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Aufnahme eines neuen Artikels 23bis in die Bundesverfassung betreffend die Getreideversorgung des Landes,1926-12-05,Mandatory referendum,crop production,national economic supply,,Automatic,Binding,Official,Normal,Constitution
"Bundesbeschluss betreffend die Alters-, Hinterlassenen- und Invalidenversicherung",1925-12-06,Mandatory referendum,pension insurance,indirect taxation,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss betreffend Aufenthalt und Niederlassung der Ausländer,1925-10-25,Mandatory referendum,immigration policy,,,Automatic,Binding,Official,Normal,Constitution
"Eidgenössische Volksinitiative 'für eine Invaliditäts-, Alters- und Hinterlassenenversicherung' (AHV)",1925-05-24,Citizens' initiative,pension insurance,direct taxation,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz betreffend Abänderung von Art. 41 des Fabrikgesetzes vom 18. Juni 1914 / 27. Juni 1919,1924-02-17,Optional referendum,short-term economic policy,working hours,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss betreffend die Revision der Art. 31 und 32bis (Alkoholwesen) der Bundesverfassung,1923-06-03,Mandatory referendum,addictive substances,indirect taxation,pension insurance,Automatic,Binding,Official,Normal,Constitution
Eidgenössische Volksinitiative 'zur Wahrung der Volksrechte in der Zollfrage',1923-04-15,Citizens' initiative,customs,referendum,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Ratifikation des am 7. August 1921 in Paris unterzeichneten Abkommens zwischen der Schweiz und Frankreich zur Regelung der Handelsbeziehungen und des freundnachbarlichen Grenzverkehrs zwischen den ehemaligen Freizonen Hochsavoyens sowie der Landschaft Gex und den angrenzenden schweizerischen Kantonen,1923-02-18,Optional referendum,foreign trade policy,bilateral treaties,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'Schutzhaft',1923-02-18,Citizens' initiative,state security,fundamental rights,criminal law,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'für die Einmalige Vermögensabgabe',1922-12-03,Citizens' initiative,direct taxation,budget cuts and remediation measures,social security,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz betreffend Abänderung des Bundesstrafrechts vom 4. Februar 1853 in bezug auf Verbrechen gegen die verfassungsmässige Ordnung und innere Sicherheit und in bezug auf die Einführung des bedingten Strafvollzugs,1922-09-24,Optional referendum,criminal law,state security,fundamental rights,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'betreffend die Wählbarkeit der Bundesbeamten in den Nationalrat',1922-06-11,Citizens' initiative,parliament,"government, administration",electoral system,Bottom up,Binding,Official,Normal,Citizens
"Eidgenössische Volksinitiative 'betreffend die Ausweisung von Ausländern, Teil II'",1922-06-11,Citizens' initiative,immigration policy,state security,,Bottom up,Binding,Official,Normal,Citizens
"Eidgenössische Volksinitiative 'betreffend die Erlangung des Schweizerbürgerrechts, Teil I'",1922-06-11,Citizens' initiative,immigration policy,citizenship,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss betreffend Aufnahme eines Artikels 37ter (Luftschiffahrt) in die Bundesverfassung,1921-05-22,Mandatory referendum,air transport,intergovernmental relations,,Automatic,Binding,Official,Normal,Constitution
"Bundesbeschluss betreffend Aufnahme eines Art. 37bis und eines Art. 37ter in die Bundesverfassung (Automobil und Fahrradverkehr, Luftschiffahrt)",1921-05-22,Mandatory referendum,road transport,intergovernmental relations,,Automatic,Binding,Official,Normal,Constitution
Eidgenössische Volksinitiative 'für die Aufhebung der Militärjustiz',1921-01-30,Citizens' initiative,armed forces in general,criminal law,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'für die Unterstellung von unbefristeten oder für eine Dauer von mehr als 15 Jahren abgeschlossenen Staatsverträgen unter das Referendum (Staatsvertragsreferendum)',1921-01-30,Citizens' initiative,referendum,position on foreign policy,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz betreffend die Arbeitszeit beim Betriebe der Eisenbahnen und anderer Verkehrsanstalten,1920-10-31,Optional referendum,working hours,"government, administration",,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss betreffend den Beitritt der Schweiz zum Völkerbund,1920-05-16,Mandatory referendum,international organisations,,,Top down,Binding,Official,Normal,Parliament
Gegenvorschlag zur eidgenössischen Volksinitiative für ein Verbot der Errichtung von Spielbanken,1920-03-21,Counter proposal,structural policy,lottery and gambling,,Top down,Binding,Official,Normal,Parliament
Bundesbeschluss über die Volksinitiative 'für ein Verbot der Errichtung von Spielbanken',1920-03-21,Citizens' initiative,structural policy,lottery and gambling,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz betreffend die Ordnung des Arbeitsverhältnisses,1920-03-21,Optional referendum,industrial relations,employment policy,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss betreffend die Aufnahme von Uebergangsbestimmungen zu Art. 73 der Bundesverfassung,1919-08-10,Mandatory referendum,parliament,"government, administration",electoral system,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss betreffend Erlass eines Artikels der Bundesverfassung über die Erhebung einer neuen ausserordentlichen Kriegssteuer,1919-05-04,Mandatory referendum,direct taxation,budget cuts and remediation measures,armed forces in general,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss betreffend Aufnahme eines Art. 24ter in die Bundesverfassung (Schiffahrt),1919-05-04,Mandatory referendum,shipping,intergovernmental relations,,Automatic,Binding,Official,Normal,Constitution
Eidgenössische Volksinitiative 'für die Proporzwahl des Nationalrates',1918-10-13,Citizens' initiative,electoral system,parliament,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'für die Einführung der direkten Bundessteuer',1918-06-02,Citizens' initiative,direct taxation,,,Bottom up,Binding,Official,Normal,Citizens
"Bundesbeschluss betreffend die Einfügung eines Art. 41bis und eines Artikels 42, lit.g, in die Bundesverfasssung (Stempelabgaben)",1917-05-13,Mandatory referendum,indirect taxation,budget cuts and remediation measures,armed forces in general,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss betreffend Erlass eines Artikels der Bundesverfassung zur Erhebung einer einmaligen Kriegssteuer,1915-06-06,Mandatory referendum,direct taxation,budget cuts and remediation measures,armed forces in general,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss betreffend Revision von Art. 103 der Bundesverfassung und Aufnahme eines Artikels 114bis in die Bundesverfassung,1914-10-25,Mandatory referendum,courts,"government, administration",,Automatic,Binding,Official,Normal,Constitution
"Bundesbeschluss betreffend Revision der Artikel 69 und 31, 2.Absatz, lit.d, der Bundesverfassung (Bekämpfung menschlicher und tierischer Krankheiten)",1913-05-04,Mandatory referendum,health policy,intergovernmental relations,,Automatic,Binding,Official,Normal,Constitution
Bundesgesetz über die Kranken- und Unfallversicherung,1912-02-04,Optional referendum,health and accident insurance,,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'für die Proporzwahl des Nationalrates',1910-10-23,Citizens' initiative,electoral system,parliament,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss betreffend die Gesetzgebung des Bundes über die Nutzbarmachung der Wasserkräfte und über die Fortleitung und die Abgabe der elektrischen Energie (Gegenentwurf: Aufnahme eines Zusatzartikels 24bis in die Bundesverfassung),1908-10-25,Counter proposal,hydro-electric power,,,Top down,Binding,Official,Normal,Parliament
